단지코드,지역,단지명,도로명주소,전용면적,임대료,임대보증금
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,25.88,183400.0,6602000.0
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,27.3,196500.0,7074000.0
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,29.62,209600.0,7545000.0
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,30.62,250820.46952722914,9569550.930689815
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,35.91,288032.54606282734,10673712.56624554
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,44.63,327600.0,11793000.0
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,46.8,364637.3690255238,12946740.961557794
C1476,경상남도,밀양가곡1,경상남도 밀양시 중앙로 47,32.1,204800.0,8740000.0
C1476,경상남도,밀양가곡1,경상남도 밀양시 중앙로 47,72.16,183500.0,7570000.0
C1983,충청남도,명천주공2단지,충청남도 보령시 주공로 50,31.84,104700.0,4510000.0
C1983,충청남도,명천주공2단지,충청남도 보령시 주공로 50,63.68,157300.0,6255000.0
C1983,충청남도,명천주공2단지,충청남도 보령시 주공로 50,126.65,209900.0,8000000.0
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,14.1,199088.1866518304,3376359.5270923385
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,18.98,189500.0,615000.0
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,19.36,182682.8872759668,5589035.101832189
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,21.46,176133.2430384547,6472422.688705513
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,22.83,97700.0,6150000.0
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,23.4,240500.0,15370000.0
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,27.55,157139.27474966965,9034246.690638153
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,29.17,152086.69205216033,9715717.114797575
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,31.92,143509.77697922784,10872534.192845976
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,32.6,139500.0,8790000.0
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,36.57,129006.99331045109,12828606.706636908
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,50.08,86870.94871579,18511733.51552196
C2135,부산광역시,부산금곡주공1단지,부산광역시 북구 효열로 268,240.22,0.0,0.0
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,14.1,77500.0,5270000.0
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,18.98,80000.0,4970000.0
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,19.36,113131.08218346795,7982523.020251407
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,21.46,117582.55060453937,8219789.127065023
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,22.83,64830.0,5340000.0
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,23.4,121694.85952686249,8438977.816216648
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,27.55,130491.80902564648,8907860.836824508
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,29.17,144700.0,9840000.0
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,31.92,139755.1028352094,9401600.306717604
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,32.1,143900.0,9790000.0
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,32.6,143900.0,9790000.0
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,36.57,294600.0,20350000.0
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,50.08,178249.70594314128,11453387.211353442
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,72.26,175500.0,10230000.0
C2034,부산광역시,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,240.22,0.0,0.0
C1109,부산광역시,0,0,30.0,272024.265460266,9828546.479322799
C1109,부산광역시,0,0,21.85,275044.25868566165,11086806.64638628
C1109,부산광역시,0,0,21.94,275010.9090672217,11072911.748835886
C1109,부산광역시,0,0,21.98,274996.0870145817,11066736.23881349
C1109,부산광역시,0,0,22.24,274899.74367242184,11026595.423667906
C1109,부산광역시,0,0,23.35,274488.43171166244,10855225.020546377
C1109,부산광역시,0,0,25.98,273513.8817505838,10449185.236573745
C1109,부산광역시,0,0,26.53,273310.07852678414,10364271.97376578
C1109,부산광역시,0,0,28.38,272624.5585921851,10078654.635229897
C1109,부산광역시,0,0,28.45,272598.62000006513,10067847.492690701
C1109,부산광역시,0,0,33.39,270768.0964990278,9305172.004924614
C1109,부산광역시,0,0,33.51,270723.63034110784,9286645.474857423
C1109,부산광역시,0,0,36.76,269519.3385641096,8784885.28553763
C1109,부산광역시,0,0,52.5,263686.86085027794,6354822.091724233
C1109,부산광역시,0,0,401.5,0.0,0.0
