단지코드,pred_기본,pred_자격유형x,real_Y,diff
C2225,937.318055493318,928.0753893873144,448.0,9.242666106003526
C1176,1084.0617602544412,1072.3037531500156,619.0,11.758007104425587
C1407,1136.1972363653276,1149.384892867501,1064.0,13.187656502173468
C1244,1343.0808887788662,1311.699987867386,1804.0,31.38090091148024
C1833,992.2174998586861,1043.1047437993411,1001.0,50.887243940655026
C1620,977.6222130739106,947.1712368126582,1101.0,30.450976261252436
C2574,953.6924844291408,975.3801709915989,826.0,21.68768656245811
C1744,914.5562762888785,947.6804004378895,979.0,33.12412414901098
C2071,1067.3501829416612,1109.1371868751226,1398.0,41.78700393346139
C1889,797.3479080907406,733.1267736030699,808.0,64.22113448767072
C2358,1069.9570836551604,943.6080673361488,1010.0,126.34901631901164
C1177,1379.1208108942997,1189.1940220989345,1044.0,189.92678879536516
C1024,1164.5732970492543,1133.9720850927902,957.0,30.601211956464113
C2274,876.9068573901613,785.8243391668824,713.0,91.08251822327895
C2329,842.8343489443687,818.6690829123071,821.0,24.165266032061595
C1103,897.878816834747,888.4499650724675,787.0,9.428851762279464
C1320,1018.0691635858225,1045.1179475570584,924.0,27.048783971235935
C1326,1018.522872651874,959.1997265774744,1153.0,59.323146074399574
C1802,1443.2171071475186,1533.9034771717745,1983.0,90.6863700242559
C1939,1818.172698104565,1753.6216964518985,1896.0,64.5510016526664
C2506,1335.1599299059217,1274.4894899108522,1433.0,60.6704399950695
C2259,1381.0208678658182,1259.7604468770887,1378.0,121.26042098872949
