?⑥?肄붾뱶,珥앹꽭????꾨?嫄대Ъ援щ텇,吏??怨듦툒?좏삎,?꾩슜硫댁쟻,?꾩슜硫댁쟻蹂꾩꽭???怨듦????먭꺽?좏삎,?꾨?蹂댁쬆湲??꾨?猷?吏?섏쿋??踰꾩뒪?뺣쪟???⑥??댁＜李⑤㈃???깅줉李⑤웾???⑥?紐??꾨줈紐낆＜???곕㈃???꾨룄,寃쎈룄,subway_name,subway_dist,?섏듅????珥앹씤援ъ닔,?몃????멸뎄,???щ퉬??????0~19??????20~39??????40~69??????70?몄씠??0~19??鍮꾩쑉,20~39??鍮꾩쑉,40~69??鍮꾩쑉,70?몄씠??鍮꾩쑉,,,,,,,,,,,,,,,,,,,
C2515,545,?꾪뙆??寃쎌긽?⑤룄,援???꾨?,39.6,20,17,A,12672000,107130,0,3,624,205,誘몄닔?대㉫?쒖븘,寃쎌긽?⑤룄 ?듭쁺??誘몄슦吏?댁븞濡?107,1213.87,128.3965046,34.82422654,?ㅻ??ы빐?섏슃?μ뿭,0.611738735,1,11129,2.3,0.97,1.76124031,1.036597428,0.983953568,0.588839941,0.19561506,0.18501213,0.52214934,0.09722347,
C2515,545,?꾪뙆??寃쎌긽?⑤룄,援???꾨?,46.9,38,17,A,18433000,149760,0,3,624,205,誘몄닔?대㉫?쒖븘,寃쎌긽?⑤룄 ?듭쁺??誘몄슦吏?댁븞濡?107,1213.87,128.3965046,34.82422654,?ㅻ??ы빐?섏슃?μ뿭,0.611738735,1,11129,2.3,0.97,1.76124031,1.036597428,0.983953568,0.588839941,0.19561506,0.18501213,0.52214934,0.09722347,
C2515,545,?꾪뙆??寃쎌긽?⑤룄,援???꾨?,46.9,19,17,A,18433000,149760,0,3,624,205,誘몄닔?대㉫?쒖븘,寃쎌긽?⑤룄 ?듭쁺??誘몄슦吏?댁븞濡?107,1213.87,128.3965046,34.82422654,?ㅻ??ы빐?섏슃?μ뿭,0.611738735,1,11129,2.3,0.97,1.76124031,1.036597428,0.983953568,0.588839941,0.19561506,0.18501213,0.52214934,0.09722347,
C2515,545,?꾪뙆??寃쎌긽?⑤룄,援???꾨?,51.97,106,17,A,23042000,190090,0,3,624,205,誘몄닔?대㉫?쒖븘,寃쎌긽?⑤룄 ?듭쁺??誘몄슦吏?댁븞濡?107,1213.87,128.3965046,34.82422654,?ㅻ??ы빐?섏슃?μ뿭,0.611738735,1,11129,2.3,0.97,1.76124031,1.036597428,0.983953568,0.588839941,0.19561506,0.18501213,0.52214934,0.09722347,
C2515,545,?꾪뙆??寃쎌긽?⑤룄,援???꾨?,51.97,26,17,A,23042000,190090,0,3,624,205,誘몄닔?대㉫?쒖븘,寃쎌긽?⑤룄 ?듭쁺??誘몄슦吏?댁븞濡?107,1213.87,128.3965046,34.82422654,?ㅻ??ы빐?섏슃?μ뿭,0.611738735,1,11129,2.3,0.97,1.76124031,1.036597428,0.983953568,0.588839941,0.19561506,0.18501213,0.52214934,0.09722347,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,30.95,288,13,A,15620000,127350,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,30.99,68,13,A,15620000,127350,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,30.99,34,13,A,15620000,127350,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,41.11,148,13,A,27637000,164610,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,41.39,74,13,A,27637000,164610,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,41.58,70,13,A,27637000,164610,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,41.58,70,13,A,27637000,164610,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,46.36,170,13,A,36048000,198250,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,46.36,170,13,A,36048000,198250,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,51.24,62,13,A,42056000,253520,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1407,1216,?꾪뙆????꾧킅??떆,援???꾨?,51.24,62,13,A,42056000,253520,1,1,1285,1064,?꾩븞 ?대㉫?쒖븘 4?⑥?,??꾧킅??떆 ?좎꽦援??곷?濡?40,4636.41,127.337382,36.34656572,?좎꽦?⑥쿇??0.008228206461359284,1,45840,2.42,0.92,2.167134269,0.929420732,0.871551167,0.699507389,0.228752182,0.276112565,0.442452007,0.052683246,,
C1945,755,?꾪뙆??寃쎄린??援???꾨?,39.72,120,6,B,15607000,130070,1,3,734,730,?명룊留덉쓣 二쇨났?대㉫?쒖븘,寃쎄린???⑥뼇二쇱떆 ?섏쓣3濡?8,6017.76,127.2407727,37.65839028,?됰궡?명룊??0.0063432642224209405,1,57499,2.65,0.95,1.990574122,0.964403145,0.937693294,0.69743208,0.234943216,0.238978069,0.446755596,0.079323119,,,
C1945,755,?꾪뙆??寃쎄린??援???꾨?,39.72,120,6,B,15607000,130070,1,3,734,730,?명룊留덉쓣 二쇨났?대㉫?쒖븘,寃쎄린???⑥뼇二쇱떆 ?섏쓣3濡?8,6017.76,127.2407727,37.65839028,?됰궡?명룊??0.0063432642224209405,1,57499,2.65,0.95,1.990574122,0.964403145,0.937693294,0.69743208,0.234943216,0.238978069,0.446755596,0.079323119,,,
C1945,755,?꾪뙆??寃쎄린??援???꾨?,51.93,207,6,B,23139000,193230,1,3,734,730,?명룊留덉쓣 二쇨났?대㉫?쒖븘,寃쎄린???⑥뼇二쇱떆 ?섏쓣3濡?8,6017.76,127.2407727,37.65839028,?됰궡?명룊??0.0063432642224209405,1,57499,2.65,0.95,1.990574122,0.964403145,0.937693294,0.69743208,0.234943216,0.238978069,0.446755596,0.079323119,,,
C1945,755,?꾪뙆??寃쎄린??援???꾨?,51.93,96,6,B,23139000,193230,1,3,734,730,?명룊留덉쓣 二쇨났?대㉫?쒖븘,寃쎄린???⑥뼇二쇱떆 ?섏쓣3濡?8,6017.76,127.2407727,37.65839028,?됰궡?명룊??0.0063432642224209405,1,57499,2.65,0.95,1.990574122,0.964403145,0.937693294,0.69743208,0.234943216,0.238978069,0.446755596,0.079323119,,,
C1945,755,?꾪뙆??寃쎄린??援???꾨?,59.88,160,6,B,29209000,244020,1,3,734,730,?명룊留덉쓣 二쇨났?대㉫?쒖븘,寃쎄린???⑥뼇二쇱떆 ?섏쓣3濡?8,6017.76,127.2407727,37.65839028,?됰궡?명룊??0.0063432642224209405,1,57499,2.65,0.95,1.990574122,0.964403145,0.937693294,0.69743208,0.234943216,0.238978069,0.446755596,0.079323119,,,
C1945,755,?꾪뙆??寃쎄린??援???꾨?,59.88,52,6,B,29209000,244020,1,3,734,730,?명룊留덉쓣 二쇨났?대㉫?쒖븘,寃쎄린???⑥뼇二쇱떆 ?섏쓣3濡?8,6017.76,127.2407727,37.65839028,?됰궡?명룊??0.0063432642224209405,1,57499,2.65,0.95,1.990574122,0.964403145,0.937693294,0.69743208,0.234943216,0.238978069,0.446755596,0.079323119,,,
C1470,696,?꾪뙆???꾨씪遺곷룄,援???꾨?,36.55,228,14,A,12015000,102130,0,2,645,553,?μ떊?대㉫?쒖븘1?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?66,6611.9,126.931166,35.94671124,?곗궛??0.37848791116141317,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1470,696,?꾪뙆???꾨씪遺곷룄,援???꾨?,36.55,26,14,A,12015000,102130,0,2,645,553,?μ떊?대㉫?쒖븘1?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?66,6611.9,126.931166,35.94671124,?곗궛??0.37848791116141317,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1470,696,?꾪뙆???꾨씪遺곷룄,援???꾨?,46.9,196,14,A,21628000,132160,0,2,645,553,?μ떊?대㉫?쒖븘1?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?66,6611.9,126.931166,35.94671124,?곗궛??0.37848791116141317,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1470,696,?꾪뙆???꾨씪遺곷룄,援???꾨?,51.93,246,14,A,25233000,144180,0,2,645,553,?μ떊?대㉫?쒖븘1?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?66,6611.9,126.931166,35.94671124,?곗궛??0.37848791116141317,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1898,566,?꾪뙆???꾨씪遺곷룄,援???꾨?,36.55,230,9,A,12015000,102130,0,6,517,415,?μ떊?대㉫?쒖븘2?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?24-9,6749.2,126.9319724,35.94856465,?곗궛??0.3766135295417959,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1898,566,?꾪뙆???꾨씪遺곷룄,援???꾨?,36.55,28,9,A,12015000,102130,0,6,517,415,?μ떊?대㉫?쒖븘2?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?24-9,6749.2,126.9319724,35.94856465,?곗궛??0.3766135295417959,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1898,566,?꾪뙆???꾨씪遺곷룄,援???꾨?,36.62,13,9,A,12015000,102130,0,6,517,415,?μ떊?대㉫?쒖븘2?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?24-9,6749.2,126.9319724,35.94856465,?곗궛??0.3766135295417959,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1898,566,?꾪뙆???꾨씪遺곷룄,援???꾨?,46.9,194,9,A,21628000,132160,0,6,517,415,?μ떊?대㉫?쒖븘2?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?24-9,6749.2,126.9319724,35.94856465,?곗궛??0.3766135295417959,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1898,566,?꾪뙆???꾨씪遺곷룄,援???꾨?,46.9,15,9,A,21628000,132160,0,6,517,415,?μ떊?대㉫?쒖븘2?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?24-9,6749.2,126.9319724,35.94856465,?곗궛??0.3766135295417959,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1898,566,?꾪뙆???꾨씪遺곷룄,援???꾨?,51.93,86,9,A,25233000,144180,0,6,517,415,?μ떊?대㉫?쒖븘2?⑥?,?꾨씪遺곷룄 ?듭궛???ㅼ궛硫??좏솕濡?湲?24-9,6749.2,126.9319724,35.94856465,?곗궛??0.3766135295417959,2,7783,2,0.98,1.822368421,1.1859375,1.049409237,0.671641791,0.142875498,0.179750739,0.49029937,0.187074393,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,39.62,275,10,A,29551000,203030,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,39.62,126,10,A,29551000,203030,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,39.62,168,10,A,29551000,203030,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,39.72,219,10,A,29551000,203030,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,46.73,98,10,A,43990000,304540,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,46.81,144,10,A,43990000,304540,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,46.81,76,10,A,43990000,304540,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,46.81,76,10,A,43990000,304540,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,46.95,75,10,A,43990000,304540,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,46.95,75,10,A,43990000,304540,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,51.78,232,10,A,49854000,338380,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,51.78,83,10,A,49854000,338380,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1244,1722,?꾪뙆??寃쎄린??援???꾨?,51.95,75,10,A,49854000,338380,0,10,1483,1804,諛깊쁽留덉쓣 3?⑥?,寃쎄린???깅궓??遺꾨떦援??숉뙋援먮줈 92,3320.18,127.1177165,37.38989399,?쒗쁽??0.007514081304020033,1,21629.66667,2.893333333,0.953333333,1.965072134,0.911028619,0.936243801,0.784128289,0.229931113,0.245943072,0.457257779,0.066868036,,,
C1171,624,?꾪뙆????꾧킅??떆,援???꾨?,33.38,190,13,A,17730000,118190,0,5,634,700,LH??꾨끂?3吏援??⑥?,??꾧킅??떆 ?좎꽦援?吏議깅줈148踰덇만 40,4595.19,127.3050311,36.37719892,?몄???0.013210357877301324,1,28168,2.6,0.973333333,1.940445269,1.008714597,0.944112515,0.731862253,0.241728202,0.261857427,0.435115497,0.061298873,,
C1171,624,?꾪뙆????꾧킅??떆,援???꾨?,39.46,106,13,A,23641000,141840,0,5,634,700,LH??꾨끂?3吏援??⑥?,??꾧킅??떆 ?좎꽦援?吏議깅줈148踰덇만 40,4595.19,127.3050311,36.37719892,?몄???0.013210357877301324,1,28168,2.6,0.973333333,1.940445269,1.008714597,0.944112515,0.731862253,0.241728202,0.261857427,0.435115497,0.061298873,,
C1171,624,?꾪뙆????꾧킅??떆,援???꾨?,39.46,43,13,A,23641000,141840,0,5,634,700,LH??꾨끂?3吏援??⑥?,??꾧킅??떆 ?좎꽦援?吏議깅줈148踰덇만 40,4595.19,127.3050311,36.37719892,?몄???0.013210357877301324,1,28168,2.6,0.973333333,1.940445269,1.008714597,0.944112515,0.731862253,0.241728202,0.261857427,0.435115497,0.061298873,,
C1171,624,?꾪뙆????꾧킅??떆,援???꾨?,39.46,15,13,A,23641000,141840,0,5,634,700,LH??꾨끂?3吏援??⑥?,??꾧킅??떆 ?좎꽦援?吏議깅줈148踰덇만 40,4595.19,127.3050311,36.37719892,?몄???0.013210357877301324,1,28168,2.6,0.973333333,1.940445269,1.008714597,0.944112515,0.731862253,0.241728202,0.261857427,0.435115497,0.061298873,,
C1171,624,?꾪뙆????꾧킅??떆,援???꾨?,46.66,38,13,A,35462000,189130,0,5,634,700,LH??꾨끂?3吏援??⑥?,??꾧킅??떆 ?좎꽦援?吏議깅줈148踰덇만 40,4595.19,127.3050311,36.37719892,?몄???0.013210357877301324,1,28168,2.6,0.973333333,1.940445269,1.008714597,0.944112515,0.731862253,0.241728202,0.261857427,0.435115497,0.061298873,,
