단지코드,apt임대료min,apt임대료25%,apt임대료50%,apt임대료75%,apt임대료max,apt임대료mean,apt임대료std,apt임대료count,apt임대보증금min,apt임대보증금25%,apt임대보증금50%,apt임대보증금75%,apt임대보증금max,apt임대보증금mean,apt임대보증금std,apt임대보증금count,store임대료min,store임대료25%,store임대료50%,store임대료75%,store임대료max,store임대료mean,store임대료std,store임대료count,store임대보증금min,store임대보증금25%,store임대보증금50%,store임대보증금75%,store임대보증금max,store임대보증금mean,store임대보증금std,store임대보증금count,apt전용면적min,apt전용면적25%,apt전용면적50%,apt전용면적75%,apt전용면적max,apt전용면적mean,apt전용면적std,apt전용면적count,store전용면적min,store전용면적25%,store전용면적50%,store전용면적75%,store전용면적max,store전용면적mean,store전용면적std,store전용면적count
C2049,78230.0,83315.0,88400.0,94330.0,100260.0,88963.33333333333,11025.798534951258,3.0,15271000.0,15339000.0,15407000.0,16547000.0,17687000.0,16121666.666666666,1357322.8552313312,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.49,51.72,51.95,55.795,59.64,54.35999999999999,4.578394915251413,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2202,145940.0,149110.0,152280.0,161755.0,171230.0,156483.33333333334,13158.534619528626,3.0,9714000.0,9979000.0,10244000.0,11025500.0,11807000.0,10588333.333333334,1088157.3109313438,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.67,40.285,42.9,46.17,49.44,43.336666666666666,5.8971377237888305,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1925,130850.0,134252.5,137655.0,141057.5,144460.0,137655.0,9623.723291948912,2.0,8052000.0,8332500.0,8613000.0,8893500.0,9174000.0,8613000.0,793373.8084913064,2.0,133000.0,133000.0,133000.0,175100.0,301400.0,175100.0,84200.0,4.0,5162000.0,5162000.0,5162000.0,6772500.0,11604000.0,6772500.0,3221000.0,4.0,26.37,27.6075,28.845,30.082500000000003,31.32,28.845,3.50017856687341,2.0,32.1,32.1,32.1,42.115,72.16,42.115,20.029999999999998,4.0
C2576,161780.0,180190.0,198600.0,217010.0,235420.0,198600.0,52071.34336657736,2.0,19436000.0,21640000.0,23844000.0,26048000.0,28252000.0,23844000.0,6233853.382940603,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,50.144999999999996,53.39,56.635000000000005,59.88,53.39,9.17824601980139,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1312,122210.0,122210.0,126575.0,135620.0,149660.0,131255.0,12941.75799495571,4.0,17460000.0,17460000.0,18707000.0,22137250.0,28687000.0,20890250.0,5329137.039271305,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.72,39.915,40.765,42.887499999999996,46.9,42.037499999999994,3.340941733503694,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1874,69900.0,69900.0,69900.0,76460.0,83020.0,74273.33333333333,7574.835531767891,3.0,3141000.0,3141000.0,3141000.0,3436000.0,3731000.0,3337666.6666666665,340636.6588218792,3.0,109700.0,109700.0,131585.0,188700.0,283900.0,154170.66072527276,54211.398633247896,27.0,4390000.0,4390000.0,5274500.0,7480000.0,11260000.0,6207081.973630425,2202605.2504472504,27.0,26.37,26.37,26.37,28.845,31.32,28.02,2.857883832488647,3.0,12.62,25.5,27.75,34.8,55.5,31.215555555555554,11.559260467871747,27.0
C2650,104930.0,123280.0,141630.0,141630.0,141630.0,129396.66666666667,21188.754879259264,3.0,11492000.0,12853500.0,14215000.0,14253500.0,14292000.0,13333000.0,1594817.5444231858,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.44,40.765,45.09,45.205,45.32,42.28333333333333,5.061781636275251,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2416,69820.0,72565.0,75310.0,78055.0,80800.0,75310.0,7764.032457428292,2.0,3138000.0,3261250.0,3384500.0,3507750.0,3631000.0,3384500.0,348603.64312496793,2.0,154100.0,157404.04814061816,167857.57626870633,173849.4645268922,17255414.387524653,2301127.668643276,6042450.065407268,8.0,6080000.0,6349751.710322214,7052869.644780941,7341170.715740618,71158781.22604504,14846910.667124651,22759327.22835109,8.0,26.34,27.375,28.41,29.445,30.48,28.41,2.9274220741123074,2.0,19.69,31.185000000000002,41.66,50.2775,317.17,72.62125,99.44718633346474,8.0
C2013,37360.0,37360.0,37360.0,41270.0,45180.0,39966.666666666664,4514.879105062873,3.0,13930000.0,13930000.0,13930000.0,15749000.0,17568000.0,15142666.666666666,2100400.2793118586,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.02,36.2,36.38,41.13,45.88,39.42666666666667,5.591648534496184,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1424,198980.0,212040.0,225100.0,225100.0,225100.0,216393.33333333334,15080.389031233024,3.0,14247000.0,17210000.0,20173000.0,20688000.0,21203000.0,18541000.0,3754204.576205191,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.99,44.97,49.95,49.95,49.95,46.629999999999995,5.750408681128674,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2100,89210.0,89210.0,100365.0,111520.0,111520.0,100365.0,12219.690257940256,6.0,22307000.0,22307000.0,25096000.0,27885000.0,27885000.0,25096000.0,3055196.4257638166,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.51,51.667500000000004,55.905,59.9325,59.99,55.80666666666667,4.5370857019309945,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2621,79980.0,79980.0,87485.0,159960.0,159960.0,111848.75,40161.7506154799,8.0,5787000.0,5787000.0,6330000.0,11574000.0,11574000.0,8092875.0,2905930.5584811014,8.0,552100.0,552100.0,552100.0,552100.0,3127681.097083678,864868.1097083678,813783.583922061,10.0,21330000.0,21330000.0,21330000.0,21330000.0,59875725.73718488,27317572.57371849,13259091.72082319,10.0,26.37,26.37,28.845,52.74,52.74,36.877500000000005,13.241562003242455,8.0,31.84,31.84,31.84,31.84,137.49,45.589,33.80558482788836,10.0
C2520,177500.0,177500.0,177500.0,177500.0,177500.0,177500.0,0.0,1.0,13155000.0,13155000.0,13155000.0,13155000.0,13155000.0,13155000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.69,39.69,39.69,39.69,39.69,39.69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2319,236220.0,236407.5,236590.0,245980.0,273790.0,245797.5,18662.7389468963,4.0,17389000.0,17401000.0,17414000.0,18061000.0,19975000.0,18048000.0,1284741.7379899095,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.86,51.897499999999994,51.935,53.8625,59.57,53.824999999999996,3.8302175743248155,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1616,28140.0,54060.0,79980.0,87485.0,94990.0,67703.33333333333,35075.176882424035,3.0,5787000.0,6330000.0,6873000.0,30456500.0,54040000.0,22233333.333333332,27550732.881964017,3.0,233900.0,337111.49417037715,344017.80569150986,399520.0904681126,1500000.0,441000.5168638541,294957.51966875495,19.0,5600000.0,11394499.43893011,11464353.302042613,11473159.56712311,95000000.0,17990146.414736643,21709802.94722584,19.0,26.37,28.845,31.32,35.82,40.32,32.669999999999995,7.07230514047577,3.0,37.26,37.72,38.04,54.56,583.4,75.1278947368421,124.4121125122714,19.0
C1704,119190.0,119485.0,119780.0,120075.0,120370.0,119780.0,834.3860018001261,2.0,8625000.0,8646250.0,8667500.0,8688750.0,8710000.0,8667500.0,60104.07640085654,2.0,104660.0,104660.0,104660.0,104660.0,255690.0,114728.66666666667,38995.778318513745,15.0,3767000.0,3767000.0,3767000.0,3767000.0,9205000.0,4129533.3333333335,1404085.562445062,15.0,39.3,39.397499999999994,39.495,39.5925,39.69,39.495,0.27577164466275395,2.0,31.84,31.84,31.84,31.84,126.65,38.16066666666666,24.47983673692835,15.0
C2258,79980.0,87485.0,94990.0,108640.0,122290.0,99086.66666666667,21450.43200808164,3.0,5787000.0,6330000.0,6873000.0,7860500.0,8848000.0,7169333.333333333,1551866.7253773224,3.0,70960.0,174700.0,269035.64727490256,337500.0,1565700.0,329461.23335091275,337916.41346725664,17.0,1710000.0,4200000.0,6270000.0,12150000.0,37800000.0,8826370.433435885,8317345.239324777,17.0,26.37,28.845,31.32,35.82,40.32,32.669999999999995,7.07230514047577,3.0,14.1,21.19,23.4,32.29,240.22,39.09470588235294,52.52457783238803,17.0
C1032,118580.0,159172.5,187260.0,220027.5,230950.0,184135.0,44448.80954536353,6.0,16852000.0,24031750.0,28714000.0,33395500.0,34956000.0,27777166.666666668,7104101.362358695,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.65,47.8125,51.88,57.9725,59.99,51.64333333333334,7.874672479961734,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2038,79980.0,87485.0,94990.0,108640.0,122290.0,99086.66666666667,21450.43200808164,3.0,5787000.0,6330000.0,6873000.0,7860500.0,8848000.0,7169333.333333333,1551866.7253773224,3.0,47210.0,84504.45173356595,93798.81382924234,129336.08066565215,11205052.20642808,759768.873951848,2691937.3579541002,17.0,1898000.0,2792607.15346226,3059536.405792131,4200000.0,66326684.61057426,7136304.86085039,15287741.356997047,17.0,26.37,28.845,31.32,35.82,40.32,32.669999999999995,7.07230514047577,3.0,14.1,21.19,23.4,32.29,240.22,39.09470588235294,52.52457783238803,17.0
C1859,79980.0,79980.0,79980.0,94990.0,159960.0,98978.0,34704.03607651421,5.0,5787000.0,5787000.0,5787000.0,6873000.0,11574000.0,7161600.0,2511032.616275623,5.0,104346.13019891408,104346.13019891408,356100.0,518680.0,6865538.318549537,629227.4732330824,1165901.3712254358,35.0,6838321.880650893,18672000.0,22625000.0,24304672.1292948,300596480.41246307,28044784.510338347,47938815.12981943,35.0,26.37,26.37,26.37,31.32,52.74,32.634,11.442147088724214,5.0,31.84,31.84,37.41,39.33,583.4,57.12685714285715,93.28416039718856,35.0
C1722,125000.0,138130.0,189240.0,221030.0,221030.0,178886.0,45343.66361466616,5.0,7744000.0,8813000.0,10043000.0,13101000.0,13101000.0,10560400.0,2457769.069705289,5.0,125400.0,125400.0,125400.0,125400.0,285640.0,152106.66666666666,65417.706063929414,6.0,4958000.0,4958000.0,4958000.0,4958000.0,11201834.48275862,5998639.08045977,2549034.7535255253,6.0,26.37,31.32,37.67,49.69,49.69,38.948,10.592531331084178,5.0,32.1,32.1,32.1,32.1,72.16,38.776666666666664,16.35442651598235,6.0
C1850,212540.0,228480.0,244420.0,244420.0,244420.0,233793.33333333334,18405.92658176527,3.0,11620000.0,13019000.0,14418000.0,14418000.0,14418000.0,13485333.333333334,1615426.053192573,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.74,44.68,49.62,49.62,49.62,46.32666666666666,5.7042206595935,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2190,69900.0,69900.0,69900.0,73180.0,83020.0,73180.0,6560.0,4.0,3141000.0,3141000.0,3141000.0,3288500.0,3731000.0,3288500.0,295000.0,4.0,90100.0,183400.0,288032.5460628273,314300.0,364637.36902552383,249927.24836434916,89566.36801540939,17.0,3940000.0,7074000.0,10673712.56624554,13170000.0,14790000.0,10004436.511616424,3675994.6292176554,17.0,26.37,26.37,26.37,27.6075,31.32,27.6075,2.4749999999999996,4.0,14.17,22.97,23.4,29.62,46.8,26.464117647058828,8.931011322089685,17.0
C1476,123200.0,126400.0,129600.0,132800.0,136000.0,129600.0,9050.966799187809,2.0,8133000.0,8415000.0,8697000.0,8979000.0,9261000.0,8697000.0,797616.4491784256,2.0,183500.0,204800.0,204800.0,204800.0,204800.0,201250.0,8695.688586880282,6.0,7570000.0,8740000.0,8740000.0,8740000.0,8740000.0,8545000.0,477650.49984271976,6.0,26.37,27.6075,28.845,30.082500000000003,31.32,28.845,3.50017856687341,2.0,32.1,32.1,32.1,32.1,72.16,38.776666666666664,16.35442651598235,6.0
C1077,84880.0,116090.0,147300.0,166030.0,184760.0,138980.0,50457.11446367103,3.0,12483000.0,16228000.0,19973000.0,21846500.0,23720000.0,18725333.333333332,5721454.914034833,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.65,41.775,46.9,49.415,51.93,45.16,7.787188196005026,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1068,106090.0,110775.0,137320.0,149810.0,168520.0,134191.66666666666,25819.94300277727,6.0,11234000.0,12170750.0,16853500.0,18726000.0,24343000.0,16540666.666666666,5082947.006084823,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.65,38.1225,44.205,46.95,51.93,43.49166666666667,6.126987568672445,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1983,124180.0,142850.0,145290.0,145290.0,149010.0,141324.0,9833.340225986285,5.0,8083000.0,9670000.0,10060000.0,10060000.0,10363000.0,9647200.0,908352.7398538522,5.0,104700.0,104700.0,104700.0,104700.0,209900.0,120480.0,35502.29413557508,10.0,4510000.0,4510000.0,4510000.0,4510000.0,8000000.0,5033500.0,1177785.233204915,10.0,26.37,31.32,35.28,35.28,36.0,32.85,4.063975885755229,5.0,31.84,31.84,31.84,31.84,126.65,44.504999999999995,30.548139514179546,10.0
C2135,124390.0,124390.0,124390.0,131025.0,137660.0,128813.33333333333,7661.438072146334,3.0,9363000.0,9363000.0,9363000.0,10027500.0,10692000.0,9806000.0,767298.5077530126,3.0,86870.94871579,143509.77697922784,176133.24303845468,240500.0,11205052.20642808,823317.8501317698,2675743.418386147,17.0,615000.0,6472422.688705512,9715717.114797575,15370000.0,66326684.61057426,13307927.225726493,14527623.653943343,17.0,26.37,26.37,26.37,28.845,31.32,28.02,2.857883832488647,3.0,14.1,21.46,23.4,31.92,240.22,38.81764705882353,52.55542568677041,17.0
C2034,124390.0,124390.0,124390.0,131025.0,137660.0,128813.33333333333,7661.438072146334,3.0,9363000.0,9363000.0,9363000.0,10027500.0,10692000.0,9806000.0,767298.5077530126,3.0,64830.0,121694.85952686248,143900.0,143900.0,11205052.20642808,562340.5556050797,2171090.2162131844,26.0,4970000.0,8438977.816216648,9790000.0,9790000.0,66326684.61057426,11476059.442489149,11518427.012798576,26.0,26.37,26.37,26.37,28.845,31.32,28.02,2.857883832488647,3.0,14.1,23.4,32.010000000000005,32.1,240.22,38.03692307692309,42.73486714796064,26.0
C1109,79980.0,83732.5,87485.0,91237.5,94990.0,87485.0,10613.672785610079,2.0,5787000.0,6058500.0,6330000.0,6601500.0,6873000.0,6330000.0,767917.9643685906,2.0,263686.860850278,270756.9799595478,273411.9801386839,274996.0870145817,23886045.22224687,1453284.4752354394,5280124.733344125,20.0,6354822.091724233,9300540.372407816,10406728.605169762,11066736.23881349,76454306.99060191,13392805.6204817,14888656.053440804,20.0,26.37,27.6075,28.845,30.082500000000003,31.32,28.845,3.50017856687341,2.0,21.85,21.98,27.455,33.51,401.5,47.065999999999995,83.764713987894,20.0
C1497,165340.0,166957.5,168575.0,170192.5,171810.0,168575.0,4574.980874276963,2.0,12953000.0,13103250.0,13253500.0,13403750.0,13554000.0,13253500.0,424971.17549311504,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.41,39.415,39.42,39.425,39.43,39.42,0.014142135623733162,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2289,79980.0,79980.0,87485.0,94990.0,94990.0,87485.0,8666.027540536283,4.0,5787000.0,5787000.0,6330000.0,6873000.0,6873000.0,6330000.0,627002.3923399335,4.0,9560000.0,13761000.0,14621655.909550158,15177485.942108016,30072000.0,15155620.169984076,4130114.367310191,20.0,76100.0,109500.0,119407.90363775325,124257.2654552993,1253000.0,173098.1546344887,254895.91426857514,20.0,26.37,26.37,28.845,31.32,31.32,28.845,2.857883832488647,4.0,37.26,37.835,38.685,54.51,583.4,71.3515,120.96836190443393,20.0
C2597,79980.0,79980.0,79980.0,87485.0,94990.0,84983.33333333333,8666.027540536283,3.0,5787000.0,5787000.0,5787000.0,6330000.0,6873000.0,6149000.0,627002.3923399335,3.0,4330000.0,4400000.0,5685748.320466615,8390000.0,11860802.96133835,6472510.11914477,2068250.0696420532,29.0,44723.36463081074,61726.41444038249,62700.0,85600.0,66850397.22620814,2375966.2909045825,12400210.218694506,29.0,26.37,26.37,26.37,28.845,31.32,28.02,2.857883832488647,3.0,15.0,24.38,27.75,28.88,248.56,37.72172413793103,41.817978111689634,29.0
C2310,79980.0,79980.0,79980.0,87485.0,94990.0,84983.33333333333,8666.027540536283,3.0,5787000.0,5787000.0,5787000.0,6330000.0,6873000.0,6149000.0,627002.3923399335,3.0,407772.6786083728,6144000.0,8310000.0,13570000.0,38188330.87190857,11188605.177525846,7772402.70704328,20.0,120800.0,195350.0,256000.0,262900.0,87876767.99585383,4604094.559637074,19600465.725756653,20.0,26.37,26.37,26.37,28.845,31.32,28.02,2.857883832488647,3.0,37.26,37.835,38.685,54.51,583.4,71.3515,120.96836190443393,20.0
C1672,213320.0,221572.5,229825.0,238077.5,246330.0,229825.0,23341.594846967935,2.0,17417000.0,18067250.0,18717500.0,19367750.0,20018000.0,18717500.0,1839184.73786621,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88,53.8175,55.755,57.6925,59.63,55.755,5.480077554195743,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2132,67260.0,67260.0,73575.0,83665.0,94990.0,77350.0,13181.267010420508,4.0,3912000.0,3912000.0,4279000.0,5202750.0,6873000.0,4835750.0,1401549.2320999645,4.0,3500000.0,8130000.0,8556158.376919305,9190000.0,81594000.0,11637034.02035188,15746252.726159696,43.0,52000.0,115400.0,194105.02202424945,204709.7393279372,1246500.0,223860.68132347995,241824.37773794064,43.0,26.37,26.37,28.845,31.32,31.32,28.845,2.857883832488647,4.0,15.0,24.8,37.26,39.33,583.4,55.75279069767441,100.9628707643506,43.0
C1439,79980.0,87485.0,94990.0,108640.0,122290.0,99086.66666666667,21450.43200808164,3.0,5787000.0,6330000.0,6873000.0,7860500.0,8848000.0,7169333.333333333,1551866.7253773224,3.0,38000.0,69000.0,90106.0623822501,158700.0,24133720.86708708,1306876.401817267,4999188.99894297,45.0,25600.0,1296000.0,3140800.562524195,6202649.393567777,76652112.11521181,7719478.354440236,15690132.649459807,45.0,26.37,28.845,31.32,35.82,40.32,32.669999999999995,7.07230514047577,3.0,15.0,20.9,26.25,33.39,404.65,42.97866666666667,79.37961965368464,45.0
C1613,255200.0,256415.0,257630.0,277960.0,298290.0,270373.3333333333,24207.053379817487,3.0,20163000.0,20254000.0,20345000.0,21850000.0,23355000.0,21287666.666666668,1792674.3522830168,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.49,51.72,51.95,55.795,59.64,54.35999999999999,4.578394915251413,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2216,132480.0,132695.0,132910.0,133125.0,133340.0,132910.0,608.1118318204309,2.0,9401000.0,9424000.0,9447000.0,9470000.0,9493000.0,9447000.0,65053.82386916237,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0975,39.195,39.292500000000004,39.39,39.195,0.27577164466275395,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1899,117060.0,120095.0,123130.0,126165.0,129200.0,123130.0,8584.276323604687,2.0,7721000.0,7984500.0,8248000.0,8511500.0,8775000.0,8248000.0,745290.5473706211,2.0,9150000.0,9150000.0,9150000.0,9150000.0,9150000.0,9150000.0,0.0,4.0,223100.0,223100.0,223100.0,223100.0,223100.0,223100.0,0.0,4.0,26.37,27.6075,28.845,30.082500000000003,31.32,28.845,3.50017856687341,2.0,32.1,32.1,32.1,32.1,32.1,32.1,0.0,4.0
C1056,69820.0,72565.0,75310.0,78055.0,80800.0,75310.0,7764.032457428292,2.0,3138000.0,3261250.0,3384500.0,3507750.0,3631000.0,3384500.0,348603.64312496793,2.0,4250000.0,4250000.0,4250000.0,4250000.0,4250000.0,4250000.0,0.0,10.0,69750.0,69750.0,69750.0,69750.0,69750.0,69750.0,0.0,10.0,26.34,27.375,28.41,29.445,30.48,28.41,2.9274220741123074,2.0,31.84,31.84,31.84,31.84,31.84,31.839999999999996,3.744889033148481e-15,10.0
C2644,127670.0,127670.0,144460.0,161250.0,161250.0,144460.0,19387.42203938763,4.0,8684000.0,8684000.0,10281500.0,11879000.0,11879000.0,10281500.0,1844634.1100608543,4.0,13610000.0,14255000.0,14900000.0,14900000.0,14900000.0,14470000.0,744781.8472546173,3.0,317700.0,332750.0,347800.0,347800.0,347800.0,337766.6666666667,17378.243102607736,3.0,26.37,26.37,32.02,37.67,37.67,32.02,6.524058041842772,4.0,48.9,49.31,49.72,49.72,49.72,49.446666666666665,0.4734272207354933,3.0
